,index,budget,genres,original_language,production_companies,release_date,revenue,runtime,title,budget_revenue_ratio
2785,2785,0,Family Action Adventure,en,"[{""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Discovery Channel Pictures"", ""id"": 7492}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""J&M Entertainment"", ""id"": 12474}, {""name"": ""Animal Planet"", ""id"": 63105}, {""name"": ""Winchester Films"", ""id"": 68063}, {""name"": ""Best Picture Show Company, The"", ""id"": 68064}]",2002-07-26,33082548,90.0,The Crocodile Hunter: Collision Course,inf
4109,4109,0,Drama Western,en,"[{""name"": ""Film Science"", ""id"": 1976}, {""name"": ""Evenstar Films"", ""id"": 4620}, {""name"": ""Oscilloscope Laboratories"", ""id"": 4748}]",2010-09-05,876302,104.0,Meek's Cutoff,inf
4163,4163,0,Drama Comedy Romance,en,"[{""name"": ""Film4"", ""id"": 9349}, {""name"": ""Film Agency for Wales"", ""id"": 12177}, {""name"": ""Red Hour Films"", ""id"": 12178}, {""name"": ""Warp (Submarine)"", ""id"": 12179}, {""name"": ""Warp Films"", ""id"": 12180}]",2011-03-18,864659,97.0,Submarine,inf
2669,2669,0,Adventure Comedy,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",1988-05-19,239606210,110.0,Crocodile Dundee II,inf
2709,2709,0,History Drama,en,"[{""name"": ""Film4"", ""id"": 9349}, {""name"": ""Lipsync Productions"", ""id"": 9987}, {""name"": ""Thin Man Films"", ""id"": 10100}, {""name"": ""Focus Features International (FFI)"", ""id"": 11267}, {""name"": ""France 3 Cinema"", ""id"": 16804}, {""name"": ""Xofa Productions"", ""id"": 45503}, {""name"": ""Untitled 13"", ""id"": 47802}]",2014-10-31,5405500,150.0,Mr. Turner,inf
2859,2859,0,Drama Romance,en,"[{""name"": ""Wild Bear Films"", ""id"": 1470}, {""name"": ""Archer Street Productions"", ""id"": 1471}, {""name"": ""Delux Productions"", ""id"": 1472}]",2003-08-31,31466789,101.0,Girl with a Pearl Earring,inf
4093,4093,0,Documentary Action Adventure,en,"[{""name"": ""Darlow Smithson Productions"", ""id"": 2015}, {""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""PBS"", ""id"": 5826}, {""name"": ""Film4"", ""id"": 9349}]",2003-09-05,13885802,106.0,Touching the Void,inf
4045,4045,0,Comedy Drama Family,en,"[{""name"": ""HSX Films"", ""id"": 4714}, {""name"": ""Chase Productions"", ""id"": 16517}]",1998-05-01,565592,97.0,"Dancer, Texas Pop. 81",inf
4236,4236,0,Drama,en,[],2011-02-11,330048,95.0,Mooz-lum,inf
4254,4254,0,Science Fiction,en,"[{""name"": ""Nomadic Pictures"", ""id"": 12467}]",2014-09-27,1500000,85.0,Mutant World,inf
2297,2297,0,Drama,en,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}]",2013-11-08,76586316,131.0,The Book Thief,inf
2302,2302,0,Drama,en,"[{""name"": ""Gran Via Productions"", ""id"": 2605}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Lemodeln Model & Talent Agency"", ""id"": 59391}]",2012-09-28,5310554,121.0,Won't Back Down,inf
2329,2329,0,Crime Horror,en,"[{""name"": ""Alliance Films"", ""id"": 2514}]",2008-04-10,14796236,88.0,Prom Night,inf
2342,2342,0,Comedy Crime Drama,en,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""De Line Pictures"", ""id"": 2609}]",2009-04-10,24007324,86.0,Observe and Report,inf
4063,4063,0,Crime Drama,en,"[{""name"": ""StudioCanal"", ""id"": 694}]",2001-06-15,480811,113.0,Bully,inf
4232,4232,0,Drama Romance,en,"[{""name"": ""Crossroads Films"", ""id"": 3058}]",2008-03-07,414404,106.0,Snow Angels,inf
4087,4087,0,Comedy Drama,en,[],2003-08-15,6003587,101.0,American Splendor,inf
2393,2393,0,Comedy Crime Drama,en,"[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Tyler Perry Company, The"", ""id"": 3096}]",2009-02-16,90508336,103.0,Madea Goes to Jail,inf
2955,2955,0,Comedy Music Romance,en,"[{""name"": ""United Artists"", ""id"": 60}]",2005-09-13,2945242,105.0,Romance & Cigarettes,inf
2952,2952,0,Drama Romance Thriller,en,"[{""name"": ""FilmEngine"", ""id"": 816}, {""name"": ""Chickie The Cop Production"", ""id"": 15700}, {""name"": ""Daniel Fried Productions"", ""id"": 53732}, {""name"": ""Rhulen Entertainment"", ""id"": 53733}]",2001-08-31,16017403,95.0,O,inf
2419,2419,0,Drama,en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Mayhem Pictures"", ""id"": 22881}]",2015-02-20,45710059,128.0,"McFarland, USA",inf
4205,4205,0,Drama Crime Thriller,en,[],2010-10-15,2592808,0.0,N-Secure,inf
4204,4204,0,Comedy Drama,en,"[{""name"": ""No Limit Films"", ""id"": 16718}, {""name"": ""Shooting Star Pictures"", ""id"": 40648}]",1999-04-09,6033999,84.0,Foolish,inf
3923,3923,0,Drama Foreign Romance,en,"[{""name"": ""David Hamilton Productions"", ""id"": 2146}, {""name"": ""Echo Lake Productions"", ""id"": 2147}, {""name"": ""Flagship International"", ""id"": 2148}, {""name"": ""Noble Nomad Pictures"", ""id"": 2149}]",2005-09-08,10422387,115.0,Water,inf
3305,3305,0,Action Adventure Science Fiction,en,"[{""name"": ""Handistom Investment"", ""id"": 3970}, {""name"": ""Kings Road Entertainment"", ""id"": 4255}, {""name"": ""Kamisha Corporation"", ""id"": 68152}]",1989-10-19,882290,100.0,The Blood of Heroes,inf
1821,1821,0,Mystery Fantasy Adventure Comedy,en,"[{""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Warner Bros."", ""id"": 6194}]",2004-03-24,181466833,93.0,Scooby-Doo 2: Monsters Unleashed,inf
3503,3503,0,Documentary,en,[],2006-09-09,25,152.0,Lake of Fire,inf
3879,3879,0,Drama Romance,en,"[{""name"": ""Vox3 Films"", ""id"": 3279}, {""name"": ""Serenade Films"", ""id"": 3459}, {""name"": ""Olympus Pictures"", ""id"": 7400}, {""name"": ""Deer Path Productions"", ""id"": 9352}, {""name"": ""Northwood Productions"", ""id"": 9353}]",2009-07-29,2277396,99.0,Adam,inf
1292,1292,0,Comedy,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Gold Circle Films"", ""id"": 12026}]",2007-02-02,69485490,102.0,Because I Said So,inf
3523,3523,0,Action Comedy,en,[],2012-12-07,126,139.0,Khiladi 786,inf
3525,3525,0,Comedy Music Family,en,[],2010-07-16,531826,105.0,Standing Ovation,inf
4379,4379,0,Science Fiction Drama,en,"[{""name"": ""Verisimilitude"", ""id"": 22632}, {""name"": ""Bersin Pictures"", ""id"": 36186}, {""name"": ""WeWork Studios"", ""id"": 36187}]",2014-07-18,336472,106.0,I Origins,inf
3871,3871,0,Comedy Family,en,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Christmas Tree Films"", ""id"": 10757}]",1983-11-18,19294144,94.0,A Christmas Story,inf
3548,3548,0,Thriller Crime,en,"[{""name"": ""Nordisk Film"", ""id"": 235}, {""name"": ""Yellow Bird Films"", ""id"": 5746}, {""name"": ""Friland Produksjon"", ""id"": 8246}, {""name"": ""ARD Degeto Film"", ""id"": 10947}]",2011-08-04,15699707,100.0,Headhunters,inf
1206,1206,0,Fantasy Drama Comedy Family,en,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-08-15,51854875,105.0,The Odd Life of Timothy Green,inf
4603,4603,0,Animation Comedy Drama,en,"[{""name"": ""Norman Twain Productions"", ""id"": 8828}]",2009-01-01,246574,83.0,My Dog Tulip,inf
1126,1126,0,Comedy,en,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Broken Road Productions"", ""id"": 8000}]",2012-10-11,73100172,105.0,Here Comes the Boom,inf
4630,4630,0,Drama Thriller Crime,en,"[{""name"": ""Muskat Filmed Properties"", ""id"": 10989}, {""name"": ""Bad Cop Bad Cop Film Productions"", ""id"": 12649}, {""name"": ""Dogfish Pictures"", ""id"": 12650}]",2012-08-23,319285,90.0,Compliance,inf
1007,1007,0,Drama Romance,en,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Working Title Films"", ""id"": 10163}]",2012-09-06,68929150,130.0,Anna Karenina,inf
897,897,0,Comedy Family,en,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Corduroy Films"", ""id"": 18479}, {""name"": ""All Lit Up Productions"", ""id"": 89633}]",2006-11-22,47231070,93.0,Deck the Halls,inf
882,882,0,Drama Romance,en,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Lonely Film Productions GmbH & Co. KG."", ""id"": 430}, {""name"": ""Deuce Three Productions"", ""id"": 812}, {""name"": ""DiNovi Pictures"", ""id"": 813}, {""name"": ""Warner Bros."", ""id"": 6194}]",2007-05-01,5761917,124.0,Lucky You,inf
3607,3607,0,Action Fantasy,en,"[{""name"": ""Antares Produzione Cinematografica"", ""id"": 4950}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",1982-08-20,14056528,118.0,The Beastmaster,inf
3620,3620,0,Comedy,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]",2006-01-06,6538177,94.0,Grandma's Boy,inf
847,847,0,Comedy,en,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Road Rebel"", ""id"": 2648}]",2008-02-28,33472850,91.0,Semi-Pro,inf
4775,4775,0,Drama Comedy,en,[],2002-09-20,76901,85.0,Funny Ha Ha,inf
766,766,0,Animation Comedy Family,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Davis Entertainment"", ""id"": 1302}]",2006-06-15,141702264,78.0,Garfield: A Tail of Two Kitties,inf
321,321,0,Comedy,en,"[{""name"": ""Everyman Pictures"", ""id"": 2242}, {""name"": ""Gary Sanchez Productions"", ""id"": 4740}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Location Gourmet"", ""id"": 36431}]",2012-08-09,104907746,85.0,The Campaign,inf
691,691,0,Action Adventure Comedy,en,"[{""name"": ""Wild Hogs Productions"", ""id"": 6354}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",2007-03-02,253625427,100.0,Wild Hogs,inf
